figure,panel,setup,source_type,energy_MeV,bw_mm,ctc_mm,depth_mm,depth_cm,FWHM_mm,source_file,notes
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,69,6.9,1.9566643481464254,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,72,7.2,2.0768174375195567,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,75,7.5,2.203837238677721,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,78,7.8,2.331331377377845,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,81,8.1,2.464562817044558,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,84,8.4,2.6011533764953776,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,87,8.7,2.7438408468924753,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,90,9.0,2.8883619195112935,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,93,9.3,3.0330887611842012,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,96,9.6,3.18319701018578,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,99,9.9,3.3284877919748608,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,102,10.2,3.4951176022929933,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,105,10.5,3.6596208704780495,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,108,10.8,3.837521716053901,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,111,11.1,4.023899418873022,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,114,11.4,4.206005982337759,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,117,11.7,4.3552528722242005,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,120,12.0,4.582898775989512,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,123,12.3,4.708087311755884,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,126,12.6,4.947789400606596,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,129,12.9,5.216301602433242,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,132,13.2,5.31248522549158,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,135,13.5,5.586550690161947,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,138,13.8,5.886372374426497,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,141,14.1,6.012689888078354,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,144,14.4,6.311617119848304,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,147,14.7,6.465833051452738,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,150,15.0,6.613656273951534,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,153,15.3,7.226532834675569,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,150,0.5,,156,15.6,7.486392011743958,PBP_paperdataset/FWHM5/150MeV/FWHM_singlebeam_150MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,175,0.5,,0,0.0,0.5160109553678649,PBP_paperdataset/FWHM5/175MeV/FWHM_singlebeam_175MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
fig_fwhm_vs_energy,single_beam,PBP,single_beam,175,0.5,,3,0.3,0.517437099767236,PBP_paperdataset/FWHM5/175MeV/FWHM_singlebeam_175MeV.txt,processed FWHM text file; depth spacing follows legacy plotting script
