figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 2,,5 x bw,peak_normalization,0.5,230,2.5,data/processed_data/PBP_dataset/FWHM5/230MeV/zpeak_1Darray_ctc25_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.5,230,2.5,data/processed_data/PBP_dataset/FWHM5/230MeV/zvalley_1Darray_ctc25_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.7,50,2.1,data/processed_data/PBP_dataset/FWHM7/50MeV/zpeak_1Darray_ctc21_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.7,50,2.1,data/processed_data/PBP_dataset/FWHM7/50MeV/zvalley_1Darray_ctc21_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.7,50,3.5,data/processed_data/PBP_dataset/FWHM7/50MeV/zpeak_1Darray_ctc35_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.7,50,3.5,data/processed_data/PBP_dataset/FWHM7/50MeV/zvalley_1Darray_ctc35_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.7,125,2.1,data/processed_data/PBP_dataset/FWHM7/125MeV/zpeak_1Darray_ctc21_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.7,125,2.1,data/processed_data/PBP_dataset/FWHM7/125MeV/zvalley_1Darray_ctc21_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.7,125,3.5,data/processed_data/PBP_dataset/FWHM7/125MeV/zpeak_1Darray_ctc35_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.7,125,3.5,data/processed_data/PBP_dataset/FWHM7/125MeV/zvalley_1Darray_ctc35_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.7,175,2.1,data/processed_data/PBP_dataset/FWHM7/175MeV/zpeak_1Darray_ctc21_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.7,175,2.1,data/processed_data/PBP_dataset/FWHM7/175MeV/zvalley_1Darray_ctc21_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.7,175,3.5,data/processed_data/PBP_dataset/FWHM7/175MeV/zpeak_1Darray_ctc35_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.7,175,3.5,data/processed_data/PBP_dataset/FWHM7/175MeV/zvalley_1Darray_ctc35_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,0.7,230,2.1,data/processed_data/PBP_dataset/FWHM7/230MeV/zpeak_1Darray_ctc21_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,0.7,230,2.1,data/processed_data/PBP_dataset/FWHM7/230MeV/zvalley_1Darray_ctc21_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,0.7,230,3.5,data/processed_data/PBP_dataset/FWHM7/230MeV/zpeak_1Darray_ctc35_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,0.7,230,3.5,data/processed_data/PBP_dataset/FWHM7/230MeV/zvalley_1Darray_ctc35_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1,50,3,data/processed_data/PBP_dataset/FWHM10/50MeV/zpeak_1Darray_ctc30_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1,50,3,data/processed_data/PBP_dataset/FWHM10/50MeV/zvalley_1Darray_ctc30_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1,50,5,data/processed_data/PBP_dataset/FWHM10/50MeV/zpeak_1Darray_ctc50_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1,50,5,data/processed_data/PBP_dataset/FWHM10/50MeV/zvalley_1Darray_ctc50_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1,125,3,data/processed_data/PBP_dataset/FWHM10/125MeV/zpeak_1Darray_ctc30_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1,125,3,data/processed_data/PBP_dataset/FWHM10/125MeV/zvalley_1Darray_ctc30_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1,125,5,data/processed_data/PBP_dataset/FWHM10/125MeV/zpeak_1Darray_ctc50_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1,125,5,data/processed_data/PBP_dataset/FWHM10/125MeV/zvalley_1Darray_ctc50_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1,175,3,data/processed_data/PBP_dataset/FWHM10/175MeV/zpeak_1Darray_ctc30_175MeV.txt,MISSING,"Missing because the checked USB PBP output has FWHM10/175MeV ctc40 and ctc50 raw dose arrays, but no ctc30 raw dose array for this pMBRT PDD case"
Figure 2,,3 x bw,valley,1,175,3,data/processed_data/PBP_dataset/FWHM10/175MeV/zvalley_1Darray_ctc30_175MeV.txt,MISSING,"Missing because the checked USB PBP output has FWHM10/175MeV ctc40 and ctc50 raw dose arrays, but no ctc30 raw dose array for this pMBRT PDD case"
Figure 2,,5 x bw,peak_normalization,1,175,5,data/processed_data/PBP_dataset/FWHM10/175MeV/zpeak_1Darray_ctc50_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1,175,5,data/processed_data/PBP_dataset/FWHM10/175MeV/zvalley_1Darray_ctc50_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1,230,3,data/processed_data/PBP_dataset/FWHM10/230MeV/zpeak_1Darray_ctc30_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1,230,3,data/processed_data/PBP_dataset/FWHM10/230MeV/zvalley_1Darray_ctc30_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1,230,5,data/processed_data/PBP_dataset/FWHM10/230MeV/zpeak_1Darray_ctc50_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1,230,5,data/processed_data/PBP_dataset/FWHM10/230MeV/zvalley_1Darray_ctc50_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.2,50,3.6,data/processed_data/PBP_dataset/FWHM12/50MeV/zpeak_1Darray_ctc36_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.2,50,3.6,data/processed_data/PBP_dataset/FWHM12/50MeV/zvalley_1Darray_ctc36_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1.2,50,6,data/processed_data/PBP_dataset/FWHM12/50MeV/zpeak_1Darray_ctc60_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.2,50,6,data/processed_data/PBP_dataset/FWHM12/50MeV/zvalley_1Darray_ctc60_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.2,125,3.6,data/processed_data/PBP_dataset/FWHM12/125MeV/zpeak_1Darray_ctc36_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.2,125,3.6,data/processed_data/PBP_dataset/FWHM12/125MeV/zvalley_1Darray_ctc36_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1.2,125,6,data/processed_data/PBP_dataset/FWHM12/125MeV/zpeak_1Darray_ctc60_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.2,125,6,data/processed_data/PBP_dataset/FWHM12/125MeV/zvalley_1Darray_ctc60_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.2,175,3.6,data/processed_data/PBP_dataset/FWHM12/175MeV/zpeak_1Darray_ctc36_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.2,175,3.6,data/processed_data/PBP_dataset/FWHM12/175MeV/zvalley_1Darray_ctc36_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
